" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Input data file for Frame3dd (N  m/1.000  kg) 2015-11-23 16:36:01.068244               "
" Mon Nov 23 16:42:16 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 547 , 3597  , 4129  
 Last Row , 1 , 544 , 3594 , 4124 , 7176 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     6, "max",     -3.771,      -0.001,     -4.791,     -0.074,      0.316,      0.000
     6, "min",     -3.771,      -0.001,     -4.791,     -0.074,     -0.649,     -0.000
     7, "max",     -0.822,       0.002,     -0.259,      0.012,     -0.344,      0.000
     7, "min",     -0.822,       0.002,     -0.259,      0.012,     -0.397,     -0.000
     8, "max",      3.857,       0.378,      4.612,     -0.074,      0.315,      0.025
     8, "min",      3.857,       0.378,      4.612,     -0.074,     -0.614,     -0.050
     9, "max",      3.857,      -0.378,      4.612,      0.074,      0.315,      0.050
     9, "min",      3.857,      -0.378,      4.612,      0.074,     -0.614,     -0.025
    10, "max",     -3.740,       3.600,     -3.009,      0.074,      0.395,      0.243
    10, "min",     -3.740,       3.600,     -3.009,      0.074,     -0.203,     -0.471
    11, "max",     -3.740,      -3.600,     -3.009,     -0.074,      0.395,      0.471
    11, "min",     -3.740,      -3.600,     -3.009,     -0.074,     -0.203,     -0.243
    12, "max",     -0.424,      -0.000,     -0.000,     -0.000,      0.018,      0.025
    12, "min",     -0.424,      -0.000,     -0.000,     -0.000,      0.018,      0.025
    13, "max",     -0.109,      -0.158,     -0.110,     -0.101,      0.020,      0.029
    13, "min",     -0.109,      -0.158,     -0.110,     -0.101,     -0.002,     -0.003
    14, "max",     -0.538,      -0.486,      0.596,      0.021,      0.068,      0.040
    14, "min",     -0.538,      -0.486,      0.596,      0.021,     -0.052,     -0.060
    15, "max",      0.756,       0.206,     -0.775,      0.021,      0.063,      0.021
    15, "min",      0.756,       0.206,     -0.775,      0.021,     -0.089,     -0.020
    16, "max",     -0.084,      -0.000,      1.816,     -0.001,      0.073,      0.000
    16, "min",     -0.084,      -0.000,      1.816,     -0.001,     -0.289,      0.000
    17, "max",      3.581,       2.963,      2.314,     -0.055,      0.316,      0.396
    17, "min",      3.581,       2.963,      2.314,     -0.055,     -0.136,     -0.182
    18, "max",     -4.078,      -0.171,     -3.561,     -0.055,      0.228,      0.006
    18, "min",     -4.078,      -0.171,     -3.561,     -0.055,     -0.505,     -0.030
    19, "max",     -0.727,      -0.002,     -2.105,      0.001,     -0.025,      0.000
    19, "min",     -0.727,      -0.002,     -2.105,      0.001,     -0.450,     -0.000
    20, "max",      3.075,      -0.240,      1.975,     -0.029,      0.131,      0.007
    20, "min",      3.075,      -0.240,      1.975,     -0.029,     -0.280,     -0.041
    21, "max",      0.484,      -0.669,      2.190,      0.041,      0.156,      0.064
    21, "min",      0.484,      -0.669,      2.190,      0.041,     -0.284,     -0.069
    22, "max",      0.021,       1.412,     -1.819,      0.041,      0.217,      0.088
    22, "min",      0.021,       1.412,     -1.819,      0.041,     -0.147,     -0.195
    23, "max",     -3.310,      -1.875,     -1.041,     -0.029,      0.156,      0.232
    23, "min",     -3.310,      -1.875,     -1.041,     -0.029,     -0.042,     -0.130
    24, "max",     -0.128,      -0.160,     -0.112,     -0.001,      0.021,      0.030
    24, "min",     -0.128,      -0.160,     -0.112,     -0.001,     -0.001,     -0.002
    25, "max",     -0.065,       0.024,      0.018,     -0.053,      0.003,      0.004
    25, "min",     -0.065,       0.024,      0.018,     -0.053,     -0.001,     -0.001
    26, "max",     -0.457,      -0.294,      0.320,      0.011,      0.037,      0.024
    26, "min",     -0.457,      -0.294,      0.320,      0.011,     -0.028,     -0.038
    27, "max",      0.589,       0.090,     -0.460,      0.011,      0.036,      0.009
    27, "min",      0.589,       0.090,     -0.460,      0.011,     -0.052,     -0.009
    28, "max",     -0.038,       0.000,      1.145,     -0.000,      0.048,      0.000
    28, "min",     -0.038,       0.000,      1.145,     -0.000,     -0.180,      0.000
    29, "max",      2.335,       1.742,      1.192,     -0.028,      0.160,      0.229
    29, "min",      2.335,       1.742,      1.192,     -0.028,     -0.069,     -0.108
    30, "max",     -2.671,       0.039,     -1.945,     -0.028,      0.128,      0.001
    30, "min",     -2.671,       0.039,     -1.945,     -0.028,     -0.279,     -0.006
    31, "max",     -0.300,      -0.000,     -1.078,      0.008,     -0.021,      0.000
    31, "min",     -0.300,      -0.000,     -1.078,      0.008,     -0.239,     -0.000
    32, "max",      1.973,      -0.137,      1.224,     -0.018,      0.082,      0.006
    32, "min",      1.973,      -0.137,      1.224,     -0.018,     -0.175,     -0.021
    33, "max",     -0.028,      -0.444,      1.182,      0.025,      0.083,      0.047
    33, "min",     -0.028,      -0.444,      1.182,      0.025,     -0.153,     -0.041
    34, "max",      0.377,       0.698,     -1.038,      0.025,      0.127,      0.044
    34, "min",      0.377,       0.698,     -1.038,      0.025,     -0.082,     -0.098
    35, "max",     -2.110,      -1.184,     -0.676,     -0.018,      0.096,      0.146
    35, "min",     -2.110,      -1.184,     -0.676,     -0.018,     -0.031,     -0.079
    36, "max",     -0.108,      -0.220,     -0.155,     -0.004,      0.023,      0.032
    36, "min",     -0.108,      -0.220,     -0.155,     -0.004,     -0.008,     -0.012
    37, "max",     -0.047,       0.043,      0.031,     -0.033,      0.003,      0.004
    37, "min",     -0.047,       0.043,      0.031,     -0.033,     -0.003,     -0.004
    38, "max",     -0.336,      -0.190,      0.203,      0.007,      0.024,      0.015
    38, "min",     -0.336,      -0.190,      0.203,      0.007,     -0.018,     -0.025
    39, "max",      0.431,       0.055,     -0.302,      0.007,      0.023,      0.005
    39, "min",      0.431,       0.055,     -0.302,      0.007,     -0.034,     -0.006
    40, "max",     -0.024,       0.000,      0.775,     -0.000,      0.033,      0.000
    40, "min",     -0.024,       0.000,      0.775,     -0.000,     -0.122,      0.000
    41, "max",      1.567,       1.135,      0.734,     -0.017,      0.098,      0.148
    41, "min",      1.567,       1.135,      0.734,     -0.017,     -0.042,     -0.070
    42, "max",     -1.809,       0.061,     -1.223,     -0.017,      0.081,      0.005
    42, "min",     -1.809,       0.061,     -1.223,     -0.017,     -0.177,     -0.006
    43, "max",     -0.202,      -0.000,     -0.673,      0.008,     -0.013,      0.000
    43, "min",     -0.202,      -0.000,     -0.673,      0.008,     -0.150,     -0.000
    44, "max",      1.308,      -0.075,      0.818,     -0.012,      0.056,      0.003
    44, "min",      1.308,      -0.075,      0.818,     -0.012,     -0.118,     -0.012
    45, "max",     -0.096,      -0.325,      0.728,      0.016,      0.051,      0.037
    45, "min",     -0.096,      -0.325,      0.728,      0.016,     -0.094,     -0.029
    46, "max",      0.350,       0.392,     -0.677,      0.016,      0.084,      0.025
    46, "min",      0.350,       0.392,     -0.677,      0.016,     -0.053,     -0.055
    47, "max",     -1.404,      -0.792,     -0.474,     -0.012,      0.066,      0.098
    47, "min",     -1.404,      -0.792,     -0.474,     -0.012,     -0.023,     -0.052
    48, "max",     -0.107,      -0.191,     -0.135,     -0.004,      0.019,      0.028
    48, "min",     -0.107,      -0.191,     -0.135,     -0.004,     -0.008,     -0.011
    49, "max",     -0.048,       0.028,      0.020,     -0.022,      0.002,      0.003
    49, "min",     -0.048,       0.028,      0.020,     -0.022,     -0.002,     -0.003
    50, "max",     -0.238,      -0.129,      0.147,      0.005,      0.017,      0.010
    50, "min",     -0.238,      -0.129,      0.147,      0.005,     -0.013,     -0.017
    51, "max",      0.334,       0.045,     -0.214,      0.005,      0.016,      0.004
    51, "min",      0.334,       0.045,     -0.214,      0.005,     -0.024,     -0.005
    52, "max",     -0.029,       0.000,      0.566,     -0.001,      0.024,      0.000
    52, "min",     -0.029,       0.000,      0.566,     -0.001,     -0.088,     -0.000
    53, "max",      1.087,       0.773,      0.498,     -0.012,      0.066,      0.100
    53, "min",      1.087,       0.773,      0.498,     -0.012,     -0.028,     -0.048
    54, "max",     -1.289,       0.044,     -0.821,     -0.012,      0.055,      0.004
    54, "min",     -1.289,       0.044,     -0.821,     -0.012,     -0.120,     -0.005
    55, "max",     -0.136,      -0.000,     -0.454,      0.006,     -0.009,     -0.000
    55, "min",     -0.136,      -0.000,     -0.454,      0.006,     -0.101,     -0.000
    56, "max",      0.887,      -0.021,      0.582,     -0.009,      0.040,     -0.002
    56, "min",      0.887,      -0.021,      0.582,     -0.009,     -0.084,     -0.006
    57, "max",     -0.102,      -0.259,      0.484,      0.012,      0.034,      0.030
    57, "min",     -0.102,      -0.259,      0.484,      0.012,     -0.062,     -0.022
    58, "max",      0.314,       0.231,     -0.481,      0.012,      0.060,      0.015
    58, "min",      0.314,       0.231,     -0.481,      0.012,     -0.037,     -0.033
    59, "max",     -0.983,      -0.549,     -0.366,     -0.009,      0.050,      0.068
    59, "min",     -0.983,      -0.549,     -0.366,     -0.009,     -0.018,     -0.036
    60, "max",     -0.118,      -0.144,     -0.102,     -0.004,      0.016,      0.022
    60, "min",     -0.118,      -0.144,     -0.102,     -0.004,     -0.005,     -0.006
    61, "max",     -0.061,      -0.007,     -0.005,     -0.016,      0.001,      0.002
    61, "min",     -0.061,      -0.007,     -0.005,     -0.016,      0.000,      0.000
    62, "max",     -0.152,      -0.089,      0.122,      0.003,      0.014,      0.006
    62, "min",     -0.152,      -0.089,      0.122,      0.003,     -0.011,     -0.013
    63, "max",      0.274,       0.047,     -0.162,      0.003,      0.011,      0.004
    63, "min",      0.274,       0.047,     -0.162,      0.003,     -0.018,     -0.006
    64, "max",     -0.046,       0.001,      0.447,      0.000,      0.019,      0.000
    64, "min",     -0.046,       0.001,      0.447,      0.000,     -0.070,     -0.000
    65, "max",      0.765,       0.550,      0.372,     -0.009,      0.050,      0.070
    65, "min",      0.765,       0.550,      0.372,     -0.009,     -0.021,     -0.035
    66, "max",     -0.966,       0.017,     -0.588,     -0.009,      0.040,     -0.000
    66, "min",     -0.966,       0.017,     -0.588,     -0.009,     -0.086,     -0.003
    67, "max",     -0.102,      -0.000,     -0.345,      0.005,     -0.004,      0.000
    67, "min",     -0.102,      -0.000,     -0.345,      0.005,     -0.074,     -0.000
    68, "max",      0.570,      -0.032,      0.469,     -0.007,      0.031,      0.002
    68, "min",      0.570,      -0.032,      0.469,     -0.007,     -0.067,     -0.004
    69, "max",     -0.013,      -0.223,      0.316,      0.009,      0.023,      0.028
    69, "min",     -0.013,      -0.223,      0.316,      0.009,     -0.040,     -0.017
    70, "max",      0.221,       0.121,     -0.359,      0.009,      0.046,      0.009
    70, "min",      0.221,       0.121,     -0.359,      0.009,     -0.027,     -0.017
    71, "max",     -0.690,      -0.445,     -0.277,     -0.007,      0.037,      0.056
    71, "min",     -0.690,      -0.445,     -0.277,     -0.007,     -0.015,     -0.028
    72, "max",     -0.044,      -0.189,     -0.134,     -0.005,      0.018,      0.025
    72, "min",     -0.044,      -0.189,     -0.134,     -0.005,     -0.009,     -0.012
    73, "max",      0.337,       0.124,      0.038,     -0.014,      0.001,      0.011
    73, "min",      0.337,       0.124,      0.038,     -0.014,     -0.007,     -0.014
    74, "max",     -0.189,      -0.010,     -0.033,      0.004,      0.005,     -0.000
    74, "min",     -0.189,      -0.010,     -0.033,      0.004,     -0.001,     -0.003
    75, "max",     -0.192,      -0.248,      0.154,      0.005,      0.005,      0.036
    75, "min",     -0.192,      -0.248,      0.154,      0.005,     -0.024,     -0.014
    76, "max",      0.051,       0.040,     -0.106,     -0.001,      0.009,      0.005
    76, "min",      0.051,       0.040,     -0.106,     -0.001,     -0.012,     -0.003
    77, "max",      0.247,       0.433,      0.235,     -0.006,      0.032,      0.062
    77, "min",      0.247,       0.433,      0.235,     -0.006,     -0.014,     -0.023
    78, "max",     -1.581,      -0.201,     -0.211,     -0.009,      0.001,      0.033
    78, "min",     -1.581,      -0.201,     -0.211,     -0.009,     -0.056,     -0.008
    79, "max",      0.323,      -0.002,     -0.437,      0.007,      0.016,      0.000
    79, "min",      0.323,      -0.002,     -0.437,      0.007,     -0.068,     -0.000
    80, "max",      0.314,       0.016,      0.000,      0.000,      0.005,     -0.002
    80, "min",      0.314,       0.016,      0.000,      0.000,      0.002,     -0.005
    81, "max",      0.099,      -0.169,      0.164,      0.003,      0.015,      0.020
    81, "min",      0.099,      -0.169,      0.164,      0.003,     -0.019,     -0.014
    82, "max",      0.200,       0.024,     -0.348,     -0.005,      0.035,      0.003
    82, "min",      0.200,       0.024,     -0.348,     -0.005,     -0.036,     -0.004
    83, "max",      0.048,      -0.311,     -0.111,     -0.003,      0.009,      0.016
    83, "min",      0.048,      -0.311,     -0.111,     -0.003,     -0.014,     -0.047
    84, "max",     -0.051,      -0.068,     -0.044,      0.006,      0.009,      0.013
    84, "min",     -0.051,      -0.068,     -0.044,      0.006,     -0.000,     -0.001
    85, "max",      0.188,       0.026,     -0.031,      0.001,      0.002,      0.004
    85, "min",      0.188,       0.026,     -0.031,      0.001,     -0.004,     -0.001
    86, "max",     -0.095,       0.010,      0.096,     -0.007,      0.005,      0.000
    86, "min",     -0.095,       0.010,      0.096,     -0.007,     -0.015,     -0.001
    87, "max",     -0.087,      -0.071,      0.053,      0.001,      0.001,      0.012
